orig_idx,Name,SMILES,SMILES_std,InChIKey,CHEMBL2047_prediction,CHEMBL2047_probability,CHEMBL2047_label@0.5,CHEMBL239_prediction,CHEMBL239_probability,CHEMBL239_label@0.5,CHEMBL235_prediction,CHEMBL235_probability,CHEMBL235_label@0.5,CHEMBL1947_prediction,CHEMBL1947_probability,CHEMBL1947_label@0.5,CHEMBL3351_prediction,CHEMBL3351_probability,CHEMBL3351_label@0.5,CHEMBL5853_prediction,CHEMBL5853_probability,CHEMBL5853_label@0.5,CHEMBL4158_prediction,CHEMBL4158_probability,CHEMBL4158_label@0.5,CHEMBL3247_prediction,CHEMBL3247_probability,CHEMBL3247_label@0.5,CHEMBL5080_prediction,CHEMBL5080_probability,CHEMBL5080_label@0.5,CHEMBL2083_prediction,CHEMBL2083_probability,CHEMBL2083_label@0.5,bayes_score,weighted_sum,main_score,rank,calibrated_prob,TA,priority,TA_weighted,cluster_id,div_score,is_medoid,risk_level,risk_tags,pains_hits,brenk_hits,MW,LogP,TPSA,HBA,HBD,RotB,AromRings,DTXSID,hts_red_flag,reg_sources,food_grade,CAS,chrono_window,suggested_form,murcko_scaffold,scaffold_id,moa_cluster_id,moa_is_medoid,total_activity,weighted_score
0,Glycyrrhizic acid,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,LPLVUJXQOOQHMX-UHFFFAOYSA-N,0,0.2370836551078801,Не активен,0,0.25,Не активен,0,0.45,Не активен,0,0.3962228894392835,Не активен,1,0.6666666666666666,Активен,0,0.0922498956160653,Не активен,1,0.6666666666666666,Активен,1,0.6666666666666666,Активен,1,0.6,Активен,1,0.5175635086626414,Активен,0.9987672352658288,0.454311994882587,0.454311994882587,1,1,5,High,4.54311994882587,2,0.0,True,red,"michael_acceptor,name_redflag",0,0,822.9419999999996,2.245600000000004,267.04,16,8,7,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,0,0,False,5,4.54311994882587
1,Baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,IKIIZLYTISPENI-UHFFFAOYSA-N,0,0.0,Не активен,0,0.1666666666666666,Не активен,0,0.45,Не активен,1,0.625,Активен,1,0.6666666666666666,Активен,0,0.2299326441414017,Не активен,0,0.2,Не активен,1,0.6571380542012648,Активен,1,0.9166666666666666,Активен,1,0.58301462279327,Активен,0.9995794970742636,0.4495085321135937,0.4495085321135937,2,1,5,High,4.495085321135937,3,0.956585520039735,False,green,catechol,0,0,446.364,0.1422000000000002,187.12,11,6,4,3,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,1,1,False,5,4.495085321135937
2,Scutellarin,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O,O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,DJSISFGPUUYILV-UHFFFAOYSA-N,0,0.0,Не активен,0,0.1404224363965115,Не активен,0,0.45,Не активен,1,0.625,Активен,1,0.6666666666666666,Активен,0,0.1597780788430181,Не активен,0,0.2140208901558005,Не активен,1,0.6666666666666666,Активен,1,0.9166666666666666,Активен,1,0.58301462279327,Активен,0.9995479555832276,0.44222360281886,0.44222360281886,3,1,5,High,4.4222360281886,4,0.0,True,green,catechol,0,0,462.36300000000006,-0.1522000000000001,207.35,12,7,4,3,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,1,1,False,5,4.4222360281886
3,Lycopene,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C,OAIJSZIZWZSQBC-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.5,Не активен,0,0.1582566941807109,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,1,0.6656516526523795,Активен,1,0.5069313878313281,Активен,1,0.5456696802904903,Активен,0.991814746315288,0.3396272606815661,0.3396272606815661,4,1,5,High,3.396272606815661,3,0.9510629080642582,False,yellow,,0,0,536.8880000000004,12.937999999999976,0.0,0,0,16,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,,2,0,False,5,3.3962726068156606
4,Rutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,IKGXIBQEEMLURG-UHFFFAOYSA-N,0,0.1686898326408873,Не активен,0,0.25,Не активен,0,0.45,Не активен,1,0.6295194484887168,Активен,1,0.6666666666666666,Активен,0,0.3255370981127498,Не активен,0,0.2651113018266779,Не активен,1,0.6666666666666666,Активен,1,1.0,Активен,0,0.4754296844216183,Не активен,1.0,0.4897620698823983,0.4897620698823983,5,1,4,High,4.897620698823983,0,0.0,True,green,catechol,0,0,610.5210000000006,-1.6871000000000005,269.42999999999995,16,10,6,3,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,3,1,False,4,4.897620698823983
5,Astaxanthin,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C,MQZIGYBFDRPAKN-UHFFFAOYSA-N,0,0.1686898326408873,Не активен,0,0.125,Не активен,1,0.7292155322850653,Активен,0,0.1740628816412498,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,0,0.3333333333333333,Не активен,0,0.5,Не активен,1,0.5916766608200188,Активен,0.993673598013337,0.3550549669291983,0.3550549669291983,6,1,4,High,3.550549669291984,3,0.954228763003872,False,yellow,michael_acceptor,0,0,596.8520000000002,8.905400000000004,74.6,4,2,10,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,evening_shot,shot,O=C1C=C(C=CC=CC=CC=CC=CC=CC=CC=CC=CC2=CC(=O)CCC2)CCC1,4,2,True,4,3.5505496692919833
6,Oleanolic acid,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,MIJYXULNPSFWEK-UHFFFAOYSA-N,0,0.1686898326408873,Не активен,0,0.0,Не активен,0,0.1764705882352941,Не активен,0,0.2,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,1,0.6666666666666666,Активен,1,0.5057836362295483,Активен,1,0.755237992660197,Активен,0.9936903681262688,0.3401420145004022,0.3401420145004022,7,1,4,High,3.4014201450040216,3,0.9564318775175076,False,yellow,,0,0,456.7110000000002,7.233600000000008,57.53,3,2,1,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,5,0,False,4,3.4014201450040216
7,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.0,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,1,0.5825470739989312,Активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9958739239217044,0.309125296158204,0.309125296158204,8,1,4,High,3.09125296158204,3,0.9528010288399948,False,yellow,"michael_acceptor,catechol",0,0,368.3850000000001,3.3699000000000026,93.06000000000002,6,2,8,2,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,6,3,False,4,3.09125296158204
8,Diosmin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,GZSOSUNBTXMUFQ-UHFFFAOYSA-N,0,0.1686898326408873,Не активен,0,0.25,Не активен,0,0.45,Не активен,1,0.625,Активен,1,0.6666666666666666,Активен,0,0.3255370981127498,Не активен,0,0.3143047572845124,Не активен,0,0.4,Не активен,1,0.9166666666666666,Активен,0,0.4666080391474444,Не активен,0.9994713080090846,0.4583473060518927,0.4583473060518927,9,1,3,High,4.583473060518927,1,0.0,True,green,catechol,0,0,608.5490000000007,-1.0897000000000003,238.2,15,8,7,3,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc12,7,1,True,3,4.583473060518927
9,Ursolic acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,WCGUUGGRBIKTOS-UHFFFAOYSA-N,0,0.0,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.2,Не активен,0,0.4377430606664028,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,1,0.6666666666666666,Активен,1,0.5037162220722808,Активен,1,0.755237992660197,Активен,0.994991469346052,0.3566935370636975,0.3566935370636975,10,1,3,High,3.5669353706369757,5,0.0,True,yellow,,0,0,456.7110000000002,7.089500000000008,57.53,3,2,1,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,5,0,True,3,3.5669353706369753
10,Betulinic acid,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,QGJZLNKBHJESQX-UHFFFAOYSA-N,0,0.0,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.2,Не активен,0,0.338854000213208,Не активен,0,0.0,Не активен,0,0.4285714285714285,Не активен,1,0.6666666666666666,Активен,0,0.5,Не активен,1,0.755237992660197,Активен,0.9940664745247418,0.34643300881115,0.34643300881115,11,1,3,High,3.4643300881115,3,0.9564318775175076,False,yellow,,0,0,456.7110000000003,7.089500000000008,57.53,3,2,2,0,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,morning_powder,powder,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,8,0,False,3,3.4643300881115
11,Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,0,0.0911917632893237,Не активен,0,0.25,Не активен,0,0.45,Не активен,0,0.5,Не активен,0,0.5,Не активен,0,0.24656024348934,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,0,0.3636842053049264,Не активен,0.9966998966710772,0.3440378907805946,0.3440378907805946,12,1,3,High,3.440378907805947,3,0.9559465873812418,False,green,catechol,0,0,336.36700000000013,3.096300000000001,40.8,5,0,2,3,DTXSID9043857,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,9,1,False,3,3.440378907805947
12,Ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,AFSDNFLWKVMVRB-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.4794472893845448,Не активен,1,0.625,Активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.4,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9953679631682524,0.297196141367833,0.297196141367833,13,1,3,High,2.9719614136783297,3,0.9503974047310229,False,green,catechol,0,0,302.194,1.3128,141.34,8,4,0,4,DTXSID2020557,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1oc2cccc3c(=O)oc4cccc1c4c23,10,3,False,3,2.9719614136783297
13,Nicotinamide riboside,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,NC(=O)c1ccc[n+](C2OC(CO)C(O)C2O)c1,JLEBZPBDRKPWTD-UHFFFAOYSA-O,0,0.1595855857563166,Не активен,0,0.125,Не активен,0,0.45,Не активен,0,0.2019077758289821,Не активен,0,0.0384615384615384,Не активен,0,0.0,Не активен,0,0.3349293952775234,Не активен,1,0.6072337579912009,Активен,0,0.5,Не активен,1,0.5117999686377382,Активен,0.9802096402475524,0.29289180219533,0.29289180219533,14,1,3,High,2.9289180219533,3,0.9544421771273832,False,green,,0,0,255.24999999999997,-2.315499999999998,116.89,7,5,3,1,,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,dual_morning_postpr,powder+chew,c1cc[n+](C2CCCO2)cc1,11,0,False,3,2.9289180219533
14,Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,0,0.0,Не активен,0,0.0,Не активен,0,0.45,Не активен,1,0.625,Активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.3333333333333333,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9945621468926552,0.2875847457627118,0.2875847457627118,15,1,3,High,2.8758474576271182,3,0.9533071807598076,False,green,catechol,0,0,286.239,2.2824000000000018,111.13,6,4,1,3,DTXSID4074988,no,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2ccccc12,12,3,False,3,2.8758474576271182
15,Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,0,0.0,Не активен,0,0.125,Не активен,0,0.45,Не активен,1,0.625,Активен,0,0.5,Не активен,0,0.0,Не активен,0,0.0508474576271186,Не активен,0,0.0714285714285714,Не активен,1,0.9166666666666666,Активен,0,0.0,Не активен,0.9933726165254236,0.2738942695722356,0.2738942695722356,16,1,3,High,2.7389426957223564,3,0.953548394375892,False,green,catechol,0,0,302.238,1.9880000000000009,131.36,7,5,1,3,DTXSID4021218,yes,"FDA_GRAS,EFSA_NOVEL",GRAS,,postprandial_chew,chew,O=c1cc(-c2ccccc2)oc2ccccc12,12,3,False,3,2.7389426957223564
